,corpo,llai,llaf,vaz,id,pari,parf,ret,coma,ler,corr,mostre,may,men,maye,mene,dif,simi,sin,senao,senaosin,enquanto,intei,dupla,val,corrente,binar,equal,num,soma,sub,multi,div,$
CORPO,FUN corpo llai VAL ASI CON MOST LEC llaf,,,FUN corpo llai VAL ASI CON MOST LEC llaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUN corpo llai VAL ASI CON MOST LEC llaf
FUN,e,,,FUN_S FUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUN_S,,,,vaz id pari PAR parf llai VAL ASI CON MOST LEC ret VAL llaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAR,,,,,,,e,,,,,,,,,,,,,,,,TYPE id PARAM_DEF,TYPE id PARAM_DEF,TYPE id PARAM_DEF,TYPE id PARAM_DEF,TYPE id PARAM_DEF,,,,,,,
PARAM_DEF,,,,,,,e,,coma TYPE id PARAM_DEF,,,,,,,,,,,,,,,,,,,,,,,,,
LEC,,,e,,,e,,e,,LEC_S LEC pari parf,,,,,,,,,,,,,,,,,,,,,,,,
LEC_S,,,,,,,,,,ler,,,,,,,,,,,,,,,,,,,,,,,,
MOST,e,,e,e,,e,,e,,e,,MOST_S MOST pari corr parf,,,,,,,,,,,,,,,,,,,,,,e
MOST_S,,,,,,,,,,,,mostre,,,,,,,,,,,,,,,,,,,,,,
CON,e,,e,e,,,,e,,e,,e,,,,,,,CON_S CON,CON_S CON,CON_S CON,CON_S CON,,,,,,,,,,,,e
CON_S,,,,,,,,,,,,,,,,,,,TYPE_CON pari id CONT id parf llai VAL ASI CON llaf,TYPE_CON pari id CONT id parf llai VAL ASI CON llaf,TYPE_CON pari id CONT id parf llai VAL ASI CON llaf,TYPE_CON pari id CONT id parf llai VAL ASI CON llaf,,,,,,,,,,,,
CONT,,,,,,,,,,,,,may,men,maye,mene,dif,simi,,,,,,,,,,,,,,,,
TYPE_CON,,,,,,,,,,,,,,,,,,,sin,senao,senaosin,enquanto,,,,,,,,,,,,
VAL,e,,e,e,VAL_S VAL,,,e,,e,,e,,,,,,,e,e,e,e,VAL_S VAL,VAL_S VAL,VAL_S VAL,VAL_S VAL,VAL_S VAL,e,,,,,,e
VAL_S,,,,,id,,,,,,,,,,,,,,,,,,TYPE id,TYPE id,TYPE id,TYPE id,TYPE id,,,,,,,
TYPE,,,,,,,,,,,,,,,,,,,,,,,intei,dupla,val,corrente,binar,,,,,,,
ASI,e,,e,e,,,,e,,e,,e,,,,,,,e,e,e,e,,,,,,ASI_S ASI,,,,,,e
ASI_S,,,,,,,,,,,,,,,,,,,,,,,,,,,,equal E,,,,,,
E,,,,,T R,,,,,,,,,,,,,,,,,,,,,,,,T R,,,,,
R,e,,e,e,,,,e,,e,,e,,,,,,,e,e,e,e,,,,,,e,,SIM T R,SIM T R,SIM T R,SIM T R,e
T,,,,,FN,,,,,,,,,,,,,,,,,,,,,,,,FN,,,,,
FN,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,num,,,,,
SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soma,sub,multi,div,
